"","Signature_1","Signature_13","Signature_18","Signature_2","Signature_3","Signature_33","Signature_34","Signature_41","Signature_5","Signature_8","df.extra"
"TCGA.Q1.A6DV",NA,NA,4122.58922170594,53.5870071370538,39.7424278316773,135.751427513609,NA,NA,999.5563481633,698.44699250412,39.7424278316773
"TCGA.C5.A907",104.311953671194,112.376961627739,NA,157.454559956138,259.974668362533,152.786677331398,NA,NA,1566.16343845391,408.616782707943,259.974668362533
"TCGA.EK.A2RO",NA,NA,NA,118.550161262975,1585.69775707704,106.239364070764,7.04141799505359,1028.92929386849,3019.75454770753,1150.78384590055,1585.69775707704
"TCGA.C5.A905",NA,202.259733719712,NA,297.546668294985,527.781471552226,247.271940633284,NA,693.538378820253,5549.01466059276,854.516288724211,527.781471552226
"TCGA.VS.A9UV",122.356970830418,NA,131.138489144891,153.010539484847,3171.72084633199,100.975110271762,NA,NA,561.469697334947,NA,3171.72084633199
"TCGA.MY.A913",108.357480236086,NA,320.479618569889,22.2146081992151,786.74660699905,99.759316047149,NA,NA,1145.26914863836,165.817707963296,786.74660699905
"TCGA.VS.A9UB",110.600276367824,58.7600027805154,116.023776454715,NA,440.163229758483,107.249081582379,NA,NA,2396.30471690872,286.833105886677,440.163229758483
"TCGA.VS.A957",NA,NA,86.7615059236387,68.6384972658717,1657.18134488202,68.7865668066849,NA,391.157769962832,1326.00948951412,384.805439715715,1657.18134488202
"TCGA.VS.A8QC",80.5934407371562,NA,NA,7.71310526866362,202.862293815656,99.5124340246638,NA,113.037979352295,1973.36175470847,170.072065546697,202.862293815656
"TCGA.EK.A3GM",85.4552322233346,NA,785.458553793153,209.338162791253,2261.27377626424,47.73675245823,NA,NA,568.657598575442,422.833887896674,2261.27377626424
"TCGA.VS.A9UC",NA,291.991954542773,NA,470.021579707021,1416.9889758051,86.9764223638664,NA,792.597225865843,2282.0282614736,300.182338339855,1416.9889758051
"TCGA.EK.A2RJ",NA,NA,98.9082841928082,59.5310829251586,1429.29508751583,131.877129171893,NA,266.760692618752,1943.97810062953,337.735684915496,1429.29508751583
"TCGA.EA.A44S",NA,57.6216096920898,612.353455073114,20.3563718297811,556.993526967733,157.957393870675,NA,NA,2789.5254190604,643.501885300268,556.993526967733
"TCGA.Q1.A73O",38.2073515281523,32.7486052640075,605.101912449313,NA,NA,130.70243388816,NA,59.9512455056095,2950.94448597992,930.4963215779,0
"TCGA.C5.A7CM",183.507877088203,NA,195.573471264824,91.2981748323882,1421.86792372291,215.24720781396,NA,NA,2510.37012724258,368.694843392665,1421.86792372291
"TCGA.VS.A9V5",206.630150638619,149.55216381182,NA,105.831839296526,928.65893725361,206.675427893359,NA,NA,5019.4056090518,649.132837245464,928.65893725361
"TCGA.MA.AA42",140.251295380906,NA,236.538489952147,43.5208284380712,1516.04428506813,142.434431570171,NA,NA,1523.4759453604,260.383226361538,1516.04428506813
"TCGA.FU.A3NI",NA,NA,NA,55.3756437771265,739.302319440642,97.508728796919,30.6928900159228,305.327417040789,2602.35201393016,232.477891764098,739.302319440642
"TCGA.ZJ.A8QR",3106.30993429317,NA,256.520754839025,NA,1764.5016952271,101.281391862429,NA,NA,3858.1182570366,132.052208869419,1764.5016952271
"TCGA.ZJ.AAXU",274.978113288447,NA,196.038906167875,67.2820984840498,711.055051942497,285.278103906411,NA,NA,4595.97055562731,956.61828851772,711.055051942497
"TCGA.C5.A8YQ",NA,NA,NA,154.921768264409,2378.31990304191,217.343240452461,NA,2042.44869908789,2613.34300219236,1473.77165173589,2378.31990304191
"TCGA.EK.A3GJ",36.8324580920167,NA,870.941848241693,26.772295549695,418.429597457016,140.117017865078,NA,NA,2070.84271357365,892.626707928149,418.429597457016
"TCGA.C5.A7XC",NA,NA,185.0596954601,92.6676496896059,1294.3464600968,40.4767068943998,NA,252.704862326731,1614.50467051308,705.267969752033,1294.3464600968
"TCGA.DS.A0VL",64.6746023838917,110.27307555919,316.995076469402,52.1132703248913,NA,222.684688007824,NA,NA,4035.59457519049,1159.45281034742,0
"TCGA.VS.A8EL",108.488753420734,20.5843000391211,519.729398154725,NA,707.895287148429,38.3574435924815,NA,54.9508049987471,2399.25002300016,NA,707.895287148429
"TCGA.EA.A5FO",80.4964242282147,109.526738380194,237.77793506823,49.5603469216252,NA,104.828722451646,NA,NA,3462.20417788946,1012.55458386694,0
"TCGA.DS.A0VM",45.5585608673711,NA,125.16282024794,NA,579.986240106616,50.4434908945988,222.659807225443,NA,1243.01490521789,166.292013107372,579.986240106616
"TCGA.MA.AA43",55.7180685850098,39.3312597575874,517.300492784878,31.9035974671888,NA,92.8291544586331,NA,NA,1733.998353136,676.068769385337,0
"TCGA.VS.A9UM",43.9793233811699,10.8001900081135,1322.47141717327,NA,603.197591812716,100.228302228041,NA,NA,2130.64577702177,814.281391423764,603.197591812716
"TCGA.JW.A5VJ",142.651760415825,NA,1065.3624543101,NA,500.107209892528,131.779096608921,NA,NA,2607.56883722427,910.163422715381,500.107209892528
"TCGA.LP.A4AV",NA,NA,101.31384597994,10.7405000789809,707.292428723255,45.010749647582,NA,197.231963962067,1132.71802586458,104.58734472226,707.292428723255
"TCGA.C5.A7CG",149.483137677024,1475.73925392154,NA,1601.78310903484,2332.10702296671,114.559545439926,NA,NA,1355.85693962016,289.675889319064,2332.10702296671
"TCGA.Q1.A5R2",77.9712858309462,NA,900.208667572811,NA,579.349621158947,122.977275139902,NA,NA,2040.06152857397,744.944886127435,579.349621158947
"TCGA.MY.A5BE",211.727682897167,115.633059309627,NA,NA,629.240376136092,261.660462880253,NA,443.832531309507,6488.42735864241,982.700477744847,629.240376136092
"TCGA.EK.A2RB",223.240130552734,NA,NA,265.903389914631,2756.0787003869,344.379447367401,NA,759.846203224995,6826.52582598882,1129.77855173978,2756.0787003869
"TCGA.Q1.A5R1",100.9502376413,NA,244.403787517335,102.912901974369,1775.94776280032,71.4486682224177,NA,NA,1142.14498031637,282.430746252776,1775.94776280032
"TCGA.JW.A69B",128.08062360744,NA,NA,19.5382747724083,600.705162753374,120.404983759678,NA,450.68509536572,1818.24610505569,597.049513962387,600.705162753374
