"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_28","Signature_3","Signature_31","Signature_34","Signature_40","Signature_5","Signature_8","df.extra"
"TCGA.BS.A0UV",20748.2877398371,1043.36207485901,NA,NA,45783.2537043179,5860.68537712252,5661.17408945639,NA,1189.42672808335,NA,NA,90217.6948973155,NA,0
"TCGA.PG.A917",150.251990508074,NA,12.1457632890528,NA,301.225745713987,23.2281997596303,NA,136.256344289867,NA,NA,766.808541897472,2625.58884154326,432.683545972746,136.256344289867
"TCGA.AP.A0LJ",144.863279442538,44.7997743707113,321.354080625227,NA,690.940004674531,195.88783719643,NA,NA,NA,NA,882.120273933816,1900.0819821047,870.09900838687,0
"TCGA.AX.A06J",50.890738989622,44.6861755524017,NA,NA,NA,41.5754774039468,27.1091223283529,1134.13096944681,NA,569.229515844753,NA,2405.48784965074,220.631255419595,1134.13096944681
"TCGA.BG.A0MI",170.504099709223,NA,333.595887492718,NA,297.672914741834,386.562043627124,NA,NA,NA,135.101209732266,1367.56595830543,4029.8420013976,1203.07784931277,0
"TCGA.AX.A1C8",277.628581943849,53.928748305236,66.3283480034772,NA,NA,NA,13.7826864031811,NA,NA,136.255613893599,2213.68581066975,4961.14519464516,511.312183042313,0
"TCGA.AP.A05A",76.5464311130589,73.9405431095152,NA,NA,NA,18.7997355861672,NA,996.337341771264,NA,108.041884950146,1220.65552426571,2114.70052859828,102.089473975473,996.337341771264
"TCGA.A5.A2K4",308.482551399306,89.1455121898408,144.13601042985,NA,252.58621378421,175.485488753671,NA,NA,NA,NA,1109.14353340739,3259.77157189746,552.524456789053,0
"TCGA.D1.A15Z",218.528202866705,115.897572639733,NA,NA,367.915281136864,28.7714864562633,NA,NA,NA,NA,1565.222570771,2004.76125104193,1076.30915204886,0
"TCGA.AX.A2H5",194.680683849193,29.2968113420526,60.3685116265846,NA,NA,17.2930747983397,NA,NA,NA,73.9532134911097,1285.03778019146,2680.86989862555,428.034511524404,0
"TCGA.A5.A0GQ",174.945328101197,809.61160921764,NA,185.523830302888,247.194616466992,276.672617933952,NA,5731.7051192778,NA,NA,NA,NA,NA,5731.7051192778
"TCGA.AJ.A3NC",279.092146587593,61.7038557020444,NA,NA,NA,194.369732113657,156.883166242106,NA,NA,717.410350435636,4075.23563689511,2421.34348862335,1287.89435972434,0
"TCGA.KP.A3W0",145.351856858471,81.5185512445088,275.66468631775,NA,NA,121.377264243082,NA,516.207640832948,NA,NA,822.310019642763,2283.14552690801,446.58079419251,516.207640832948
"TCGA.B5.A11N",91.1225330567805,41.3655643554262,NA,NA,NA,12.2058146890964,10.5762725691032,NA,NA,143.546661163565,1327.96365312373,2266.06297177017,385.369728869912,0
"TCGA.BS.A0V7",276.368992711715,147.861906405514,58.2185354275019,NA,NA,122.784087138029,NA,NA,NA,155.731180923105,3411.53386101694,4318.22065057705,1167.99584238386,0
"TCGA.D1.A17Q",301.482384076357,51.9754980819115,31.6526223332543,NA,NA,NA,NA,NA,NA,88.6388983725543,1957.31221119376,3871.51820441924,516.593264326936,0
"TCGA.BG.A0VT",NA,104.250457343739,NA,NA,NA,21.3095209921969,54.3932962010944,714.749531583582,NA,123.157655377408,1230.72279719247,2505.79024065919,166.305317086133,714.749531583582
"TCGA.AP.A0LG",217.895511350306,53.7490349330048,1001.2966822699,NA,322.473838962862,1883.68126316861,NA,NA,NA,NA,1234.68758348158,1763.87939321791,415.247955894331,0
"TCGA.AP.A0LL",136.566020385786,337.785063956014,NA,91.9263439472597,332.265444784189,71.7312915531126,NA,2351.03119608926,NA,6.67401101307989,NA,1140.58680080761,NA,2351.03119608926
"TCGA.E6.A2P8",325.756614495035,71.0695426771218,62.4257067824929,NA,NA,NA,26.9442423827919,NA,NA,65.1677741633996,1873.46246319617,5348.51629488077,621.738901010146,0
"TCGA.EO.A3AV",503.421037930734,9.79211246211951,NA,NA,NA,NA,NA,614.764098854161,NA,98.2762580626457,663.018113037215,3638.24291276113,463.129535761555,614.764098854161
"TCGA.AJ.A23M",100.100793248184,34.7548412753421,20.4988164080228,NA,520.567244414571,NA,NA,NA,NA,NA,649.098745404646,1481.60220111708,699.224808586058,0
"TCGA.B5.A5OE",162.146141810718,NA,NA,NA,363.054880071421,NA,NA,500.793788528087,NA,30.3234760896227,580.277302547239,1844.9385406909,NA,500.793788528087
"TCGA.D1.A1NW",217.606736365818,41.7314723583376,258.327100244602,NA,574.411097108236,194.792182235224,NA,NA,NA,NA,1084.23702924422,1949.96727599483,855.427339645595,0
"TCGA.D1.A0ZU",139.562733101937,146.74994807812,NA,27.7002610741189,77.0100803067121,NA,NA,532.361785331983,NA,NA,1134.51039167288,1473.04852391981,275.872693735097,532.361785331983
"TCGA.A5.A0R8",133.834293203034,79.4731064887269,34.4051332092384,NA,NA,NA,NA,150.509010970549,NA,29.1519913173127,630.504751337939,2232.13119441919,77.591238309794,150.509010970549
"TCGA.A5.AB3J",337.739756760329,107.542908927406,44.2073678018834,NA,NA,NA,29.0747219206682,NA,NA,170.082628377535,2384.35254902014,7229.94173514508,439.212621364849,0
"TCGA.FI.A2EY",NA,115.259994575403,NA,NA,NA,143.681607809678,37.3110992689254,1662.01765621558,73.8584548286664,1330.55542788484,NA,2628.17437003067,657.191317777443,1662.01765621558
"TCGA.A5.A0GW",239.154317102691,NA,667.93866964586,NA,349.707914463978,646.695424060779,NA,128.697091283737,NA,NA,931.750353228783,2180.10211057208,368.565059556102,128.697091283737
"TCGA.BS.A0UA",51.4419955424866,22.0800221918318,NA,NA,381.66995762421,35.7322345856144,NA,570.756974213479,NA,NA,NA,852.078636429935,135.922695589071,570.756974213479
"TCGA.BK.A0CA",671.384602607141,154.375178031759,53.662149594534,NA,NA,NA,12.8849686624489,NA,NA,38.3501999576287,3433.8514911476,8473.88924370213,996.824300491444,0
"TCGA.BK.A0CA.1",97.4578300053021,52.5604251017645,15.0168587477555,NA,302.364003572359,NA,33.1749224252131,1161.77931097228,NA,NA,NA,983.460637260495,137.353460799849,1161.77931097228
"TCGA.BK.A0CA.2",169.079762109948,NA,6.15840493749931,NA,1199.8187706037,NA,NA,179.216913987519,NA,NA,1171.61297642433,1616.13420852118,838.369589365056,179.216913987519
"TCGA.D1.A163",201.621041782401,50.911607173551,743.962812054293,NA,593.25197684006,610.065957461139,NA,NA,NA,NA,868.907170447239,2027.8120816168,955.643587511895,0
"TCGA.E6.A8L9",292.68485029506,44.0437344630543,NA,NA,124.068023899612,28.0455719125281,NA,NA,NA,NA,1507.14483134237,2897.74728338275,231.652695020916,0
"TCGA.AJ.A3EK",83.782006802012,69.6044046320804,NA,NA,NA,38.9329207473413,NA,661.895511890283,NA,94.9437073609169,814.948618882357,1112.38055447786,261.921991610677,661.895511890283
"TCGA.AJ.A3NE",129.248521024429,196.266670683511,NA,28.1725268891814,262.912375505165,64.8346805107207,NA,1436.96994744836,NA,NA,NA,751.752198085446,131.457735098552,1436.96994744836
"TCGA.BG.A0M2",109.212204573858,NA,105.472013318886,NA,184.542995868497,9.9199965106945,NA,376.819595918611,NA,6.38278100131672,213.200769988686,2179.85855904085,NA,376.819595918611
"TCGA.BG.A0M4",160.174918682038,NA,NA,NA,1224.04463131796,NA,NA,NA,NA,NA,1435.05404138052,1710.97178174836,907.57439363821,0
"TCGA.A5.A0R7",86.6855098716395,44.782236378567,711.047560134502,NA,675.92726391746,651.775234238249,NA,1137.37170703765,NA,NA,NA,357.749231919238,142.043636264414,1137.37170703765
"TCGA.BK.A6W4",78.5627391520171,35.6642476280782,68.7293797569455,NA,819.328683435076,NA,NA,116.153291636969,NA,NA,1163.10531363773,1405.0641830435,1014.88377807301,116.153291636969
"TCGA.AW.A1PO",159.395611240351,39.9445573101418,NA,NA,150.592498866105,48.0475506247547,NA,NA,NA,NA,912.472906701225,2089.43517289678,342.332000666962,0
"TCGA.EO.A3B1",308.851653763603,NA,40.0333609307234,NA,NA,NA,31.0935418861225,449.51295281567,NA,171.004292770533,1673.98871503432,7665.26966532443,375.888366184899,449.51295281567
"TCGA.D1.A0ZN",357.160398454592,122.673186055668,NA,NA,23.5779425684007,33.6482468891891,NA,NA,NA,11.6128847341255,1794.57004837156,4644.19483222708,542.446820956849,0
"TCGA.EY.A1GI",222.518440322018,69.9462110560956,96.5130556129214,NA,NA,NA,33.5348500055878,NA,NA,62.3293871386542,1318.8302086165,4253.51707291263,541.178557216046,0
"TCGA.SL.A6J9",63.1399290917256,51.0914910843359,680.859784128484,NA,889.060157436619,615.738720717665,NA,NA,NA,NA,610.313049093305,1577.98850436051,878.153237885943,0
"TCGA.B5.A1N2",360.101317455336,36.1019492747559,156.019096776113,NA,NA,NA,82.6166290298099,NA,NA,107.580836376365,2008.51273735442,8013.39538975492,657.25406121852,0
"TCGA.D1.A16X",210.800561078045,48.7577056571367,55.4471428068391,NA,NA,NA,0.48125805178469,29.8133625199872,NA,NA,901.213917224115,2750.38535538348,331.115382002886,29.8133625199872
"TCGA.A5.A0GJ",78.2641797682394,42.3226970761383,NA,NA,326.069247464112,37.6566441211191,28.1140561464807,939.360628089571,NA,NA,NA,825.790658595032,73.7724506528497,939.360628089571
"TCGA.AJ.A5DV",480.843826552051,167.140753149839,NA,4.09983024292884,NA,NA,NA,2142.01195014423,NA,NA,630.111767242121,5666.74145617418,89.0377001812934,2142.01195014423
"TCGA.BG.A0M6",768.882370967294,288.588852588629,86.8200259726563,NA,92.1991357375732,NA,79.0767562906387,NA,NA,NA,2349.58676190812,11754.9852847883,1851.56920955586,0
"TCGA.EO.A22U",155.548578839551,134.901848564064,NA,NA,NA,95.6302959623183,72.975552163479,1311.77394537552,NA,164.932763400963,1400.55842585305,4621.61041204822,NA,1311.77394537552
"TCGA.AP.A1DV",362.779357571278,426.204067681548,NA,90.4824984064072,NA,92.9551579521373,NA,2284.5032369422,NA,114.437121699664,2090.63816562625,3988.02844765256,NA,2284.5032369422
"TCGA.SJ.A6ZI",400.427658696327,NA,NA,8.18505555284056,478.820140646713,NA,NA,320.862652764284,NA,NA,NA,4454.98858570206,1008.35307700227,320.862652764284
