"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_34","Signature_35","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.30.1855",92.276979446092,30.1601844790675,NA,NA,121.380055086478,NA,1518.52801662334,267.335024605732,NA,NA,833.268479212109,111.096388226381,768.542779572506,1518.52801662334
"TCGA.29.1783",969.639543237242,181.504537988837,89.9903954186761,NA,1036.58032692481,NA,1924.74932466986,NA,NA,NA,8968.80612008564,228.093721247377,990.890713786674,1924.74932466986
"TCGA.24.0982",163.283273994777,175.647987663523,NA,NA,204.909194857906,65.9992964386036,1425.93802200225,NA,NA,NA,1529.80865474664,204.938002600184,226.361273209766,1425.93802200225
"TCGA.36.2539",129.571162328315,NA,400.627101606867,NA,479.433864739919,408.183329038406,744.296640559694,NA,NA,NA,3674.2049262566,387.261196676084,395.88358971363,744.296640559694
"TCGA.24.1550",71.3811050827611,22.7885646025491,NA,NA,189.309432122801,6.57235828497416,535.730596149453,NA,NA,NA,903.662031514731,109.610984615073,65.0945228579715,535.730596149453
"TCGA.04.1346",675.662775526207,NA,NA,NA,612.315069363591,NA,330.039307200919,NA,85.5580455927798,264.991149378198,4464.27172445231,848.253051977011,156.395810379627,330.039307200919
"TCGA.61.2613",345.923413581975,92.7782509182532,NA,NA,462.363252856053,70.0470295936583,530.024852143618,NA,NA,NA,4006.15623101166,531.409008074816,487.36830598237,530.024852143618
"TCGA.25.2391",76.3824833258978,NA,16.3490616242124,14.1962750839863,143.246487195591,14.3166705323949,678.300075262727,NA,NA,NA,1352.8429247113,NA,188.827139921108,678.300075262727
"TCGA.23.1123",177.799638119459,128.353265471622,NA,23.0839689973701,342.95224540688,30.4569186131366,1488.24298599454,NA,NA,NA,740.152106739136,NA,376.854252926299,1488.24298599454
"TCGA.09.2051",61.0134620328775,112.318735709718,NA,NA,98.2754133725779,77.1673081542487,2180.53645287908,NA,NA,NA,3218.04095292782,324.770987841866,867.619038012646,2180.53645287908
"TCGA.29.1763",52.038098929035,48.5198641267016,NA,6.3431621290359,144.943889306794,28.2736474321426,876.98017636732,NA,NA,NA,798.587238779955,NA,226.093432779264,876.98017636732
"TCGA.61.2000",12.9503394031781,NA,25.1311849567439,NA,1032.22536660605,19.2478211066716,585.4499202005,NA,NA,NA,1570.60199690945,948.485624328109,155.740269206533,585.4499202005
"TCGA.25.1315",240.050257140374,39.6012201453684,3.83905960914827,NA,147.242639058034,22.9905734369089,909.240094901708,NA,NA,NA,2213.94248909148,NA,318.71618028627,909.240094901708
"TCGA.29.2429",316.328239321403,NA,121.705531231342,NA,305.744050699983,198.926135010297,3175.94667847398,NA,NA,NA,9813.57038037505,1016.08033561549,2733.98061383871,3175.94667847398
"TCGA.61.2097",193.0176089358,NA,146.719576430784,NA,178.935141270623,67.2680771323953,534.831299147983,NA,NA,NA,4117.24124786777,777.888023449003,532.602002806929,534.831299147983
"TCGA.61.2113",54.240552052314,NA,122.436398862277,NA,1021.88989819599,66.1120018757423,377.962024801353,NA,NA,NA,1938.41120731546,752.182595743016,160.78154787626,377.962024801353
"TCGA.59.2355",108.480559226352,NA,114.498871445561,NA,268.150980264929,27.5604488147363,171.674900734914,NA,NA,NA,5104.69136899845,739.122678918554,771.654112651863,171.674900734914
"TCGA.61.1904",114.576670225028,329.306215455466,115.129254255598,32.8643142305406,715.592385030579,259.908352652368,3059.31978325808,NA,NA,NA,NA,NA,306.209713947349,3059.31978325808
"TCGA.23.1021",NA,72.1993951942805,NA,50.852813886786,NA,69.9724012221961,1215.75579322212,NA,NA,361.278586715496,3012.25638986567,720.169055658053,796.33857871624,1215.75579322212
"TCGA.29.1762",29.5049258738755,45.83252270882,16.4460008682093,NA,491.2922768072,NA,428.495792143827,NA,NA,NA,1369.21691584294,538.54421395733,122.235222984599,428.495792143827
"TCGA.29.1776",70.5676994729913,52.7496685035598,NA,NA,105.747371217117,NA,836.364018945375,NA,NA,87.0405091220591,1698.98464060324,330.295982246465,214.338788850723,836.364018945375
"TCGA.04.1336",665.577838862323,334.753317752605,NA,74.5743902693788,816.527627768907,70.0867791525807,2979.96768202571,NA,NA,NA,1671.25344277254,NA,443.652083868211,2979.96768202571
"TCGA.29.1688",146.734062556049,95.918809629464,83.7241914774511,NA,184.864941894624,13.6515629878352,859.557981890928,NA,NA,NA,2101.6950346876,NA,381.920149971495,859.557981890928
"TCGA.61.1738",41.9856124537293,NA,NA,7.19552661613166,299.918865027147,15.8080569717735,495.470639797681,NA,NA,NA,1191.8528469949,578.400661063508,196.276966125433,495.470639797681
"TCGA.04.1361",358.953996962352,41.5634811288332,171.501914863184,NA,NA,40.3359532916256,882.718202809868,NA,NA,NA,5852.24338967143,844.240416821367,898.697095943125,882.718202809868
"TCGA.36.2540",1243.81136965068,NA,63.4110722227549,NA,NA,100.182029353812,365.571746134278,NA,NA,NA,12525.646652332,NA,1486.04894717688,365.571746134278
"TCGA.13.2061",89.9010918523107,NA,62.7777633150442,NA,540.613800653495,77.3701062807448,546.126805922538,NA,NA,NA,2013.49076692741,496.368997639719,263.670005480929,546.126805922538
"TCGA.13.0755",35.7388026457317,47.808410956223,NA,10.334988825212,NA,58.2625389050487,1106.46171482486,NA,NA,NA,2748.61037603461,194.655718715513,773.783425164773,1106.46171482486
"TCGA.24.1471",NA,116.961249172222,10.7376015662431,NA,1340.27987846171,49.5367997087395,1066.82249028477,NA,NA,NA,1756.23446246323,585.723742363299,186.397266655615,1066.82249028477
"TCGA.24.1563",128.301882383169,176.012535917179,NA,9.16371624304394,298.644057266769,39.1209381015129,1972.10918734265,NA,NA,NA,646.198556419207,NA,333.619205943613,1972.10918734265
"TCGA.20.1685",NA,217.604387660559,NA,NA,339.280241741772,252.682983278309,5746.15196098364,NA,NA,1457.01525681642,3492.78988612659,1630.61148807133,2223.04552201029,5746.15196098364
"TCGA.61.1740",339.170450882394,NA,147.353562978296,31.9506131141677,NA,57.7417252684204,665.456274403076,NA,NA,NA,8649.8375320224,1003.4146718406,1203.92300772635,665.456274403076
"TCGA.13.0891",NA,110.384595192888,57.1840358573181,NA,NA,143.528075565292,2057.74754978863,NA,NA,580.101878326608,2193.53454200891,949.868523433017,1172.5600501062,2057.74754978863
"TCGA.61.1895",87.1714793239002,195.166713851716,NA,NA,2363.73574685212,4.29027840467142,2514.81894486322,NA,NA,NA,3685.51835602555,1182.49461229922,500.580573458702,2514.81894486322
"TCGA.61.1915",262.358465670291,87.5079787499177,NA,NA,437.94536632508,91.3361029112623,923.476771750943,NA,NA,NA,3355.85514587284,514.497196818329,243.946842411486,923.476771750943
"TCGA.13.0887",237.748235182051,NA,49.5364005750596,NA,546.139033035551,53.1025633065847,260.685537778711,NA,NA,NA,4552.70118087759,853.872241936727,501.397261816888,260.685537778711
"TCGA.25.1314",182.673387605025,18.0214648117511,NA,NA,36.7389653460719,2.9936076427774,748.477229664007,NA,NA,NA,1490.72845775624,29.3442833894679,169.384573488448,748.477229664007
"TCGA.13.0904",123.539153253513,NA,NA,NA,259.3803824591,NA,453.334615085824,NA,NA,62.4744287156089,2318.65968885565,NA,NA,453.334615085824
"TCGA.13.0714",86.2589956058743,35.5418993890996,NA,7.75678112165831,104.308052357509,NA,509.870983651704,NA,NA,NA,1450.35665621665,222.783406120874,130.806883882125,509.870983651704
"TCGA.24.2288",151.107494284696,175.208426852148,NA,34.5386207747346,185.16403987629,88.7737702343259,1760.86786570399,NA,NA,NA,1110.38610731721,NA,296.003012109303,1760.86786570399
"TCGA.23.2084",114.992663816597,49.4932048597411,26.5688718014865,NA,497.981609881881,NA,317.68705579787,NA,NA,NA,2220.69598263422,534.782791450197,279.009099437475,317.68705579787
