"","Signature_1","Signature_13","Signature_17a","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_30","Signature_34","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.BH.A0BO",87.9994974278069,127.697028125802,72.33913353468,NA,721.719655071572,154.63493967692,NA,NA,NA,NA,2275.97459652533,709.911435567221,262.456038154243,0
"TCGA.E9.A1R7",382.396218567001,199.159444840127,48.4369070514856,NA,255.739566015847,NA,566.85037193216,NA,NA,NA,9018.91967168411,778.977818316871,1500.17843600463,566.85037193216
"TCGA.A8.A09X",163.008987170256,182.717628307429,NA,45.824261018297,583.676419836777,64.6044205280168,NA,NA,NA,NA,5218.83076967992,1008.93947621027,771.557753773138,0
"TCGA.AR.A1AH",219.725340595901,127.417747168436,131.379629533668,NA,109.300185714859,83.5859825295932,NA,NA,NA,NA,4424.07107610124,612.840769559379,507.836742696774,0
"TCGA.BH.A0HW",NA,NA,NA,NA,537.807056061482,241.943998479732,2465.28011608223,770.694633174872,NA,2211.39014177585,1703.65122477752,2309.61609998632,3146.77948481908,2465.28011608223
"TCGA.D8.A3Z6",118.361601479387,163.326993066124,NA,NA,281.371682649961,54.7157425828147,212.963578139264,NA,NA,NA,4148.45556272153,740.990480897739,589.584159987114,212.963578139264
"TCGA.BH.A208",245.965210300273,NA,69.4366200100513,41.2242543256218,859.397179352536,36.1570665780982,464.439316899518,NA,NA,NA,3049.24135155746,NA,410.223788718724,464.439316899518
"TCGA.BH.A0DL",41.3212857035932,NA,62.0995722226799,NA,702.541157841988,21.8081973593767,347.911220992589,NA,NA,NA,1140.12807298992,751.98717403097,104.906503384296,347.911220992589
"TCGA.A2.A4S0",126.993235828854,NA,73.7291866006066,NA,80.3445952025449,63.055307521562,1382.99773916412,31.968408008141,NA,NA,2282.06891622343,NA,589.605994881159,1382.99773916412
"TCGA.EW.A1J3",46.1195030385192,NA,118.727206857171,NA,1364.57133212776,8.38874528292228,752.395581391564,NA,NA,NA,2024.73529095452,855.333862376681,116.195284687083,752.395581391564
"TCGA.D8.A1JI",60.2716527854892,109.119938507371,96.9785497064261,NA,259.750685265566,NA,608.926103024623,NA,NA,NA,1935.38012525695,304.087829594051,258.23629416604,608.926103024623
"TCGA.A8.A075",64.6590207641471,NA,129.927786019879,NA,NA,112.137199456939,1238.88421227672,NA,NA,417.569696812999,3758.59377261914,596.046451554387,1109.32078515219,1238.88421227672
"TCGA.A8.A08C",493.448916384677,NA,60.4422697114229,NA,348.022840455634,NA,100.166832241884,NA,NA,182.997699656186,3672.49852985474,784.773203513882,NA,100.166832241884
"TCGA.AC.A23H",74.2037772549461,NA,39.2075279269412,NA,299.300569189276,46.5884710896969,502.801754134042,NA,NA,NA,1343.86744631831,161.453179052455,111.758488841807,502.801754134042
"TCGA.A1.A0SM",137.352022241286,NA,232.070752800304,NA,152.506856290869,130.193793563095,2735.862034195,NA,NA,195.914897614249,2495.37617238302,NA,938.13775586732,2735.862034195
"TCGA.A2.A25C",147.888560972368,NA,116.313554433431,NA,737.283754494056,NA,646.760298162595,60.6497893768032,NA,NA,1919.33907544959,502.081947379103,94.1070636735046,646.760298162595
"TCGA.BH.A18S",204.287624359,NA,93.1174436230149,NA,817.762839043408,41.7872876696452,619.590278304914,NA,NA,NA,2165.53393635649,435.627257999582,191.610697847004,619.590278304914
"TCGA.OL.A5RX",283.060111025949,1923.62043404417,NA,NA,260.526686714657,1588.14267359685,1059.92919183295,247.934921172024,NA,NA,2737.23331189911,NA,326.414980008909,1059.92919183295
"TCGA.D8.A141",86.8475990262499,NA,103.661280983211,NA,149.958864240048,96.5677629678828,1124.50322884053,NA,NA,NA,1277.22141194342,182.689515702073,188.993171189381,1124.50322884053
"TCGA.AR.A1AN",NA,211.336070665869,128.927964575883,NA,615.04041160397,317.322509889974,389.456895376314,NA,NA,NA,2730.7065143039,621.839525520823,186.200600289076,389.456895376314
"TCGA.UU.A93S",46.0648993676275,50.0503143503936,NA,NA,233.72807464579,48.85904582257,630.204975536091,68.5479551999382,NA,NA,869.701052785209,NA,178.031136902172,630.204975536091
"TCGA.A2.A0T7",153.486440289145,269.998501999389,162.770165646518,NA,934.922239416299,332.556275344993,949.310457103007,NA,NA,NA,2605.41083796752,NA,227.078303725312,949.310457103007
"TCGA.AO.A0JM",97.1213617534227,NA,153.806720049409,45.7853195849952,684.35085942822,90.0660913454185,2061.92649370381,NA,NA,NA,565.675065430486,NA,509.081823989553,2061.92649370381
"TCGA.GM.A2DN",73.8622837813767,NA,13.9399202727042,NA,251.801213133987,NA,451.283752410875,190.296584289454,365.934708837226,NA,NA,144.740424267636,1710.78515777004,451.283752410875
"TCGA.E2.A15M",117.487832770884,NA,126.184662840181,NA,594.784018160159,116.572804110291,1673.53758874575,NA,NA,NA,1616.99782033515,460.552687317099,373.102010930165,1673.53758874575
"TCGA.D8.A13Z",55.8027482298457,NA,185.227104708658,91.2992871160119,260.920013443341,160.739940270115,3448.0081616962,NA,NA,NA,390.704455950416,NA,753.642904517816,3448.0081616962
"TCGA.AQ.A54N",121.835622397693,NA,168.492388856402,8.95274836656206,NA,12.4527692066965,1178.17040013367,NA,NA,NA,2531.58256183232,311.387954039663,303.340449917465,1178.17040013367
"TCGA.AR.A0TQ",521.373775815554,261.587933739292,74.5973487148386,NA,NA,101.477232663997,1089.81155890318,NA,NA,NA,9609.71725921013,1158.21331757587,1610.05016737965,1089.81155890318
"TCGA.E2.A1L9",456.88212997485,36.3158102188619,129.303467305358,NA,NA,103.171055632996,451.980353433211,NA,NA,NA,5004.89493484203,326.360252691005,482.027947974479,451.980353433211
"TCGA.A8.A08O",471.637670538685,193.930003640992,75.8136729785939,NA,NA,84.2178405815516,340.282017841374,NA,NA,NA,7428.95238608891,975.927164482152,902.505964632172,340.282017841374
